Total Cost,Total Sales,Total Tax,Total Transactions,ProductAlternateKey,ProductLine,ModelName
0.8565,2.29,0.1832,1,PK-7098,S,Patch kit
1.4923,3.99,0.3192,1,TT-R982,R,Road Tire Tube
1.8663,4.99,0.3992,1,TT-M928,M,Mountain Tire Tube
1.8663,4.99,0.3992,1,TT-T092,T,Touring Tire Tube
1.8663,4.99,0.3992,1,WB-H098,S,Water Bottle
2.9733,7.95,0.636,1,CL-9009,S,Bike Wash
3.3623,8.99,0.7192,1,BC-R205,R,Road Bottle Cage
3.3623,8.99,0.7192,1,SO-R809-L,R,Racing Socks
3.3623,8.99,0.7192,1,SO-R809-M,R,Racing Socks
3.7363,9.99,0.7992,1,BC-M005,M,Mountain Bottle Cage
6.9223,8.99,0.7192,1,CA-1098,S,Cycling Cap
8.0373,21.49,1.7192,1,TI-R092,R,LL Road Tire
8.2205,21.98,1.7584,1,FE-6654,M,Fender Set - Mountain
9.1593,24.49,1.9592,1,GL-H102-L,S,Half-Finger Gloves
9.1593,24.49,1.9592,1,GL-H102-M,S,Half-Finger Gloves
9.1593,24.49,1.9592,1,GL-H102-S,S,Half-Finger Gloves
9.3463,24.99,1.9992,1,TI-M267,M,LL Mountain Tire
9.3463,24.99,1.9992,1,TI-R628,R,ML Road Tire
10.8423,28.99,2.3192,1,TI-T723,T,Touring Tire
11.2163,29.99,2.3992,1,TI-M602,M,ML Mountain Tire
12.1924,32.6,2.608,1,TI-R982,R,HL Road Tire
13.0863,34.99,2.7992,1,HL-U509,S,Sport-100
13.0863,34.99,2.7992,1,HL-U509-B,S,Sport-100
13.0863,34.99,2.7992,1,HL-U509-R,S,Sport-100
13.09,35,2.8,1,TI-M823,M,HL Mountain Tire
20.5663,54.99,4.3992,1,HY-1023-70,S,Hydration Pack
23.749,63.5,5.08,1,VE-C304-L,S,Classic Vest
23.749,63.5,5.08,1,VE-C304-M,S,Classic Vest
23.749,63.5,5.08,1,VE-C304-S,S,Classic Vest
26.1763,69.99,5.5992,1,SH-W890-L,M,Women's Mountain Shorts
26.1763,69.99,5.5992,1,SH-W890-M,M,Women's Mountain Shorts
26.1763,69.99,5.5992,1,SH-W890-S,M,Women's Mountain Shorts
38.4923,49.99,3.9992,1,LJ-0192-L,S,Long-Sleeve Logo Jersey
38.4923,49.99,3.9992,1,LJ-0192-M,S,Long-Sleeve Logo Jersey
38.4923,49.99,3.9992,1,LJ-0192-S,S,Long-Sleeve Logo Jersey
38.4923,49.99,3.9992,1,LJ-0192-X,S,Long-Sleeve Logo Jersey
41.5723,53.99,4.3192,1,SJ-0194-L,S,Short-Sleeve Classic Jersey
41.5723,53.99,4.3192,1,SJ-0194-M,S,Short-Sleeve Classic Jersey
41.5723,53.99,4.3192,1,SJ-0194-S,S,Short-Sleeve Classic Jersey
41.5723,53.99,4.3192,1,SJ-0194-X,S,Short-Sleeve Classic Jersey
44.88,120,9.6,1,RA-H123,S,Hitch Rack - 4-Bike
59.466,159,12.72,1,ST-1401,M,All-Purpose Bike Stand
294.5797,539.99,43.1992,1,BK-M18B-40,M,Mountain-500
294.5797,539.99,43.1992,1,BK-M18B-42,M,Mountain-500
294.5797,539.99,43.1992,1,BK-M18B-44,M,Mountain-500
294.5797,539.99,43.1992,1,BK-M18B-48,M,Mountain-500
294.5797,539.99,43.1992,1,BK-M18B-52,M,Mountain-500
308.2179,564.99,45.1992,1,BK-M18S-40,M,Mountain-500
308.2179,564.99,45.1992,1,BK-M18S-42,M,Mountain-500
308.2179,564.99,45.1992,1,BK-M18S-44,M,Mountain-500
308.2179,564.99,45.1992,1,BK-M18S-48,M,Mountain-500
308.2179,564.99,45.1992,1,BK-M18S-52,M,Mountain-500
343.6496,539.99,43.1992,1,BK-R19B-44,R,Road-750
343.6496,539.99,43.1992,1,BK-R19B-48,R,Road-750
343.6496,539.99,43.1992,1,BK-R19B-52,R,Road-750
343.6496,539.99,43.1992,1,BK-R19B-58,R,Road-750
